2018,250,000,20,4.1,8.24,263.3
2018,250,000,40,6.372,8.41,270.7
2018,250,001,0,3.741,6.519,238.7
2018,250,001,20,1.936,3.464,249.7
2018,250,001,40,2.914,4.387,254.4
2018,250,002,0,3.632,6.33,277.3
2018,250,002,20,3.94,6.706,274
2018,250,002,40,4.615,7.268,226.6
2018,250,003,0,4.014,4.966,226.4
2018,250,003,20,4.564,5.995,230.8
2018,250,003,40,2.673,3.244,279.6
2018,250,004,0,2.5,3.373,250.1
2018,250,004,20,3.016,4.625,241.7
2018,250,004,40,4.851,6.907,268
2018,250,005,0,4.965,7.381,242.2
2018,250,005,20,3.137,3.804,251.4
2018,250,005,40,2.156,3.992,245.1
2018,250,006,0,2.563,3.54,292.6
2018,250,006,20,2.961,4.855,278.4
2018,250,006,40,3.703,4.614,274
2018,250,007,0,3.055,4.325,265
2018,250,007,20,4.221,5.535,285.9
2018,250,007,40,5.042,6.49,258
2018,250,008,0,5.129,6.748,226
2018,250,008,20,4.1,5.296,252.6
2018,250,008,40,3.199,4.086,232
2018,250,009,0,2.873,3.868,255
2018,250,009,20,2.9,4.326,260.9
2018,250,009,40,6.219,7.566,249.7
2018,250,010,0,4.181,6.203,254.1
2018,250,010,20,3.895,4.654,237.9
2018,250,010,40,3.005,4.443,260.8
2018,250,011,0,3.588,4.355,250.6
2018,250,011,20,3.977,4.963,273.2
2018,250,011,40,4.821,6.609,243.8
2018,250,012,0,4.908,6.391,279
2018,250,012,20,2.931,4.975,213.7
2018,250,012,40,2.533,3.825,273.5
2018,250,013,0,2.156,2.751,266.7
2018,250,013,20,2.587,2.969,243.5
2018,250,013,40,2.231,2.875,195.4
2018,250,014,0,1.853,2.874,257.8
2018,250,014,20,3.278,4.454,253.8
2018,250,014,40,4.939,5.826,241.6
2018,250,015,0,3.967,5.98,261.5
2018,250,015,20,2.321,2.87,229.1
2018,250,015,40,2.094,3.18,255.4
2018,250,016,0,2.033,2.758,273.1
2018,250,016,20,2.022,2.564,253.1
2018,250,016,40,2.504,3.215,263.8
2018,250,017,0,3.148,4.335,253.1
2018,250,017,20,4.489,5.845,237.2
2018,250,017,40,3.181,3.996,255.7
2018,250,018,0,2.471,3.548,242.3
2018,250,018,20,1.976,2.594,230.7
2018,250,018,40,2.219,4.207,315.1
2018,250,019,0,2.323,3.097,275.2
2018,250,019,20,2.144,3.085,224
2018,250,019,40,3.789,5.517,256.7
2018,250,020,0,4.898,5.896,220.9
2018,250,020,20,3.586,4.818,229
2018,250,020,40,3.526,4.856,225
2018,250,021,0,3.77,4.708,196.5
2018,250,021,20,2.94,4.075,271.3
2018,250,021,40,2.708,3.292,262.1
2018,250,022,0,1.599,2.18,272
2018,250,022,20,3.571,4.274,255.2
2018,250,022,40,2.852,3.679,257.8
2018,250,023,0,4.124,5.203,280.6
2018,250,023,20,2.827,4.164,230
2018,250,023,40,3.111,3.8,248.1
2018,250,024,0,2.51,2.989,233.9
2018,250,024,20,2.173,3.046,251.5
2018,250,024,40,3.484,4.601,217.8
2018,250,025,0,1.972,3.479,202.2
2018,250,025,20,2.142,3.226,233.8
2018,250,025,40,5.129,6.213,196.1
2018,250,026,0,3.137,4.208,256.2
2018,250,026,20,2.408,4.088,233.6
2018,250,026,40,2.469,3.955,286.4
2018,250,027,0,3.27,4.242,255
2018,250,027,20,2.527,3.392,222.2
2018,250,027,40,2.717,3.307,239
2018,250,028,0,2.866,3.736,229.9
